company_name,address_lines,person,phone,web
@homeEnergy,"['500 Regent Street', 'Sudbury, ON', 'P3E 4P1']",Amanda Beggs,705 675 0525,www.athomeenergy.ca
1 Click Heating and Cooling Inc,"['360 Bay Street', 'Toronto, ON', 'M5H 2V6']",Nathan Horton,800-458-1289,http://www.1clickheat.com
1000429810 Ontario Inc. / Floor Coverings International of Toronto,"['668 Millway Avenue', 'Vaughan, AB', 'L4K 3V2']",Jonathan Frydman,647-660-8181,https://Dtyyz.FloorcoveringsInternational.com
180 Marketing,"['330 Vansickle Road', 'St.Catharines, ON', 'L25 0B4']",Luc Courtois,905-687-3371,do180.com
1867 Confederation Log Homes,"['282 County Rd. 36 N', 'Bobcaygeon, ON', 'K0M 1A0']",Rich Kinsman,705-738-5131,www.confederationloghomes.com
1901343 Ontario Inc.o/a Alair Homes - Barrie,"['353 Saunders Rd. Unit 1', 'Barrie, ON', 'L4N 9A3']",Ryan Johnson,705-302-3358,www.alairhomes.com
1st Choice Home Solutions,"['22-70 Pacific Court', 'London, ON', 'N5V 3R5']",Tanya Scott,519-268-6331,www.1stchoicehs.com
2435138 Ont Inc Benmiller Construction & Insulation,"['81175 Grist Mill Line RR #4', 'Goderich, ON', 'N7A 3Y1']",Steve Boyce,866-524-9169,benmillerconstruction.ca
2477225 ON Inc. o/a Alair Homes - Orillia,"['353 Saunders Rd. Unit 1', 'Barrie, ON', 'L4N 9A3']",Albert Donadio Donadio,705-242-5082,N/A
25:8 Architecture + Urban Design,"['1368 Scott Street', 'Ottawa, ON', 'K1Y 2N1']",Jay Lim,647-504-1546,www.258arch.com
2601265 Ontario Inc. - O/A Marann Homes,"['449 Laird Rd. Unit 6', 'Guelph, ON', 'N1G 4W1']",Michael Watt,519-658-3213,N/A
2767666 Ontario Inc. O/A Haliburton Solar and Wind,"['1067 Garden Gate Dr.', 'Haliburton, ON', 'K0M 1S0']",Carolina Barberi,705-455-2637,www.haliburtonsolarandwind.com
2H Interior Design,"['139 Spruce Street', 'Ottawa, ON', 'K1R 6P1']",Danielle Hannah,613-729-3044,www.2hinteriordesign.com
360 Developments,"['183 Tillson Avenue', 'Tillsonburg, ON', 'N4G 3B1']",Cedric Tomico,519-521-7872,N/A
