name,place_id,reviews
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,114
Alma Mechanical,ChIJJ5_TX-IA1YkR6nZEdM6l0Sc,18
CCR Build + Remodel,ChIJ-0bany_lLogRUBnpws5gzI4,37
Digreen Homes,ChIJ2yfX4tjU1IkRbct8G2DI2nA,68
Ecocor Construction,ChIJLeO7za44K4gRDb2YOuTLIO0,21
Fusion Homes,ChIJE1rXfZiEK4gReqaygRXkfKU,165
Gemini Homebuilders,ChIJoQanqtiPK4gRlLrGQlyonZI,47
Great Gulf,ChIJk-aAJHXT1IkR162Fn2PZ_Xo,48
Holman Construction Inc.,ChIJ00ISyOv7LogRxoLavOAzO9I,2
Longwood Building Corporation,ChIJc3hN1S8QzkwR6Cw2aVsN90o,23
Menkes Developments Ltd,ChIJnxQrv2MtK4gRNJ398yKdSIQ,73
Northbear Contracting,ChIJAQCEFZYv1okRZAqIqv96Ugc,1
Oke Woodsmith Building Systems Inc,ChIJQT_HCGU6L4gRRTp_-Zzcm9Q,8
Pol Quality Homes,ChIJRTtMX_atLogRV5weuFY5RdI,5
Shean Architects Inc.,ChIJEZgcWj8EzkwRoPCkpJ-6XN4,4
Three Hills Engineering Ltd.,ChIJE02goLU61okRfIpzcyBYTaM,7
Toronto Deck and Railing,ChIJYVKqHjVDK4gROjcc35elmrw,44
Tridel Head Office,ChIJvR6GO-AtK4gR3yxdWCwSoKM,55
Upper Canada Consultants,ChIJ7SRXQnZR04kRgjDSNxbEceE,15
