00000000___Activa__place_id,ChIJxbIbrsrzK4gRyKBqOoYlX6k
00000001___Activa__reviews__query,ChIJxbIbrsrzK4gRyKBqOoYlX6k
00000002___Activa__reviews__name,Activa
00000003___Activa__reviews__place_id,ChIJxbIbrsrzK4gRyKBqOoYlX6k
00000004___Activa__reviews__google_id,0x882bf3caae1bb2c5:0xa95f25863a6aa0c8
00000005___Activa__reviews__full_address,"55 Columbia St E, Waterloo, ON N2J 4N7, Canada"
00000006___Activa__reviews__street,55 Columbia St E
00000007___Activa__reviews__postal_code,N2J 4N7
00000008___Activa__reviews__country_code,CA
00000009___Activa__reviews__country,Canada
00000010___Activa__reviews__city,Waterloo
00000011___Activa__reviews__state,Ontario
00000012___Activa__reviews__plus_code,86MXFFMH+48
00000013___Activa__reviews__time_zone,America/Toronto
00000014___Activa__reviews__site,http://www.activa.ca/
00000015___Activa__reviews__phone,+1 519-886-9400
00000016___Activa__reviews__type,Home builder
00000017___Activa__reviews__logo,https://lh3.googleusercontent.com/-RlGJH2nM4fY/AAAAAAAAAAI/AAAAAAAAAAA/ta1nuiOFGO4/s44-p-k-no-ns-nd/photo.jpg
00000018___Activa__reviews__description,Bringing life to communities for over 35 years in the Waterloo Region. Your search for your new home starts here.
00000019___Activa__reviews__category,Home builder
00000020___Activa__reviews__subtypes,Home builder
00000021___Activa__reviews__reviews_tags,design
00000022___Activa__reviews__reviews_tags,team
00000023___Activa__reviews__reviews_tags,sales
00000024___Activa__reviews__reviews_tags,inspection
00000025___Activa__reviews__reviews_tags,warranty
00000026___Activa__reviews__reviews_tags,email
00000027___Activa__reviews__reviews_tags,walk
00000028___Activa__reviews__reviews_tags,supervisor
00000029___Activa__reviews__reviews_tags,condo
00000030___Activa__reviews__reviews_tags,townhouse
00000031___Activa__reviews__reviews_data__review_id,ChZDSUhNMG9nS0VJQ0FnSURWc2NlekJ3EAE
00000032___Activa__reviews__reviews_data__review_pagination_id,CAESBkVnSUlBUQ==
00000033___Activa__reviews__reviews_data__author_link,https://www.google.com/maps/contrib/117450021378955334697?hl=en-US
00000034___Activa__reviews__reviews_data__author_title,Galina Khavrenko
00000035___Activa__reviews__reviews_data__author_id,117450021378955334697
00000036___Activa__reviews__reviews_data__author_image,https://lh3.googleusercontent.com/a-/ALV-UjVWgKvufdwDqR0ee7QTzFxGIjskBSN7OWBzWnFwC3zyNCc=s120-c-rp-mo-br100
00000037___Activa__reviews__reviews_data__review_text,"We've been a client of Activa Homes for about 5+ years. The quality and design options Activa provides are absolutely amazing. The design and customer care team are always one call away. The Homeowner Orientation, especially for first-time buyers, is very educating. I'm happy to be an Activa homeowner."
00000038___Activa__reviews__reviews_data__review_link,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWc2NlekJ3EAE!2m1!1s0x0:0xa95f25863a6aa0c8!3m1!1s2@1:CIHM0ogKEICAgIDVscezBw%7CCgwI0cfnqwYQ-JGg5gI%7C?hl=en-US
00000039___Activa__reviews__reviews_data__review_datetime_utc,12/13/2023 17:03:13
00000040___Activa__reviews__reviews_data__review_id,ChZDSUhNMG9nS0VJQ0FnSUNway1PdGFREAE
00000041___Activa__reviews__reviews_data__review_pagination_id,CAESBkVnSUlBZw==
00000042___Activa__reviews__reviews_data__author_link,https://www.google.com/maps/contrib/116669504465554211075?hl=en-US
00000043___Activa__reviews__reviews_data__author_title,Sandesh Vijay
00000044___Activa__reviews__reviews_data__author_id,116669504465554211075
00000045___Activa__reviews__reviews_data__author_image,https://lh3.googleusercontent.com/a-/ALV-UjV_hMla79WerknH9RT-zv6uHBmws6D04_K0CaPLH3ZNO7st=s120-c-rp-mo-ba3-br100
00000046___Activa__reviews__reviews_data__review_text,"They build terrific homes in wonderful communities. A top notch builder in the K-W region.

I’ll forever be grateful to their customer service and construction team. I closed my property with them couple weeks ago … Had they not accommodated the on-time closing of my unit, I would have risked losing my pre-approved mortgage (2.5%) that was offered to me two years ago.

Activa's entire staff has been very supportive and pleasant to work with… Megan, Jen , Jessica and Others … Thank you all.

Think buying a home in K-W Region, Think Activa…"
00000047___Activa__reviews__reviews_data__review_img_url,https://lh5.googleusercontent.com/p/AF1QipOaKhnUZ7-QXzS2Zj9sBcxBRMcGD2RMCReQHwIl
00000048___Activa__reviews__reviews_data__review_img_urls,https://lh5.googleusercontent.com/p/AF1QipOaKhnUZ7-QXzS2Zj9sBcxBRMcGD2RMCReQHwIl
00000049___Activa__reviews__reviews_data__review_photo_ids,AF1QipOaKhnUZ7-QXzS2Zj9sBcxBRMcGD2RMCReQHwIl
00000050___Activa__reviews__reviews_data__review_link,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNway1PdGFREAE!2m1!1s0x0:0xa95f25863a6aa0c8!3m1!1s2@1:CIHM0ogKEICAgICpk-OtaQ%7CCgwI8NjPpgYQyKemkAI%7C?hl=en-US
00000051___Activa__reviews__reviews_data__review_datetime_utc,08/09/2023 19:43:44
00000052___Activa__reviews__reviews_data__review_id,ChdDSUhNMG9nS0VJQ0FnSURaNXJpX3JRRRAB
00000053___Activa__reviews__reviews_data__review_pagination_id,CAESBkVnSUlBdw==
00000054___Activa__reviews__reviews_data__author_link,https://www.google.com/maps/contrib/113114095827357542736?hl=en-US
00000055___Activa__reviews__reviews_data__author_title,Ko Hyunjun
00000056___Activa__reviews__reviews_data__author_id,113114095827357542736
00000057___Activa__reviews__reviews_data__author_image,https://lh3.googleusercontent.com/a/ACg8ocJlJcV6e4xbKUwnyAmfgPT-Xk-TUG77CkZQBGXZwNYC=s120-c-rp-mo-br100
00000058___Activa__reviews__reviews_data__review_text,"We purchased our home from Activa around 2022. Our experience with them was great, and we wanted to share our story with Activa.

When we were chosen to purchase a house from Activa, we were excited as it was very competitive. Dave, who was the representative , was able to help us through the process before design studio.

After we chose our lot and went through structural upgrades with Dave, we went to design studio to choose designs and trims that go into our house. Maggie was our designer. She was very professional and friendly to work with. We were a picky customer and we changed our choices a lot, but she was very nice and understanding. She also suggested us a lot in terms of choosing. Now our home looks amazing thanks to her.

When we were done with choices, Tammy was able to take care of all the questions we had. I think that building a home with a builder can arise many questions because it is a complex process and some things can be hard to understand. We just had to email Tammy and she was able to answer every question, which gave us a peace of mind.

After the home was built and when we were going through warranty process (before closing, after closing), Scott and his team acted quick and worked in a very professional matter. They were paying attention to small details and we were able to correct and fix most of the issues we were able to find. Quality of the build went up higher after we went through home with Scott.

The whole process of purchasing a house from Activa was easier than what we expected and they were very professional. We would recommend Activa to any buyers who are willing to purchase a house from builder. Activa will get you a great quality home with less headaches you have to get. We appreciate Activa’s professionalism, and for a great house."
00000059___Activa__reviews__reviews_data__review_link,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURaNXJpX3JRRRAB!2m1!1s0x0:0xa95f25863a6aa0c8!3m1!1s2@1:CIHM0ogKEICAgIDZ5ri_rQE%7CCgwIjZfeqAYQ0I_DtAM%7C?hl=en-US
00000060___Activa__reviews__reviews_data__review_datetime_utc,09/30/2023 02:44:29
00000061___Activa__reviews__cid,12204514773633245384
00000062___Activa__reviews__reviews_link,https://search.google.com/local/reviews?placeid=ChIJxbIbrsrzK4gRyKBqOoYlX6k&authuser=0&hl=en&gl=US
00000063___Activa__reviews__reviews_id,-6242229300076306232
00000064___Activa__reviews__photo,https://lh5.googleusercontent.com/p/AF1QipNscrPUdl3PAEjk_8dTy1_e_8FtWz-HkuNnEkvd=w800-h500-k-no
