company_name,address_lines,person,phone,web
BILD,"['20 Upjohn Road, Suite 100', 'North York, ON', 'M3B 2V9']",Dave Wilkes,416-391-3445,-
Bluewater Builders' Association,"['34031 Saltford Road, R.R. #4', 'Goderich, ON', 'N7A 3Y1']",Hugh Burgsma,(519) 524-0250,-
Brantford Home Builders' Association,"['24 Griffiths Drive, #6', 'Paris, ON', 'N3L 4C5']",Fred DeCator,(519) 755-9690,-
Chatham - Kent Home Builders Association,"['416 St. Clair St.,P.O. Box 20023,', 'Chatham, ON', 'N7L 5K6']",Dan VanMoorsel,519-437-9663,www.ckhba.ca
Cornwall Construction Association,"['P.O. Box 343', 'Pembroke, ON', 'K8A 6X6']",Ryan Lalonde,123-123-1234,-
Durham Region Home Builders' Association,"['Box 26064 - 206 King Street East', 'Oshawa, ON', 'L1H 1C0']",Stacey Hawkins,905-579-8080,www.zzeem.com
Greater Dufferin Home Builders' Association,"['P.O. Box 369', 'Orangeville, ON', 'L9W 2Z7']",Margaret Janssen,(519) 940-6900,www.gdhba.ca
Greater Ottawa Home Builders' Association,"['#108-30 Concourse Gate', 'Nepean, ON', 'K2E 7V7']",Jason Burggraaf,613-723-2926,https://gohba.ca/
Grey - Bruce Home Builders' and Trades Association,"['634098 R.R.#1', 'Markdale, ON', 'N0C 1H0']",Jen Johnson,(519) 379-6041,www.greybrucehomebuilders.net
Guelph & District Home Builders' Association,"['7 Clair Road W Box 27075', 'Guelph, ON', 'N1L 0A8']",Melissa Jonker,519-836-8560,www.gdhba.com
Haldimand - Norfolk Home Builders' Association,"['-', '-, ON', '-']",TBD TBD,-,-
Haliburton County Home Builders' Association,"['Box 299', 'Haliburton, ON', 'K0M1S0']",Aggie Tose,(705) 457-6901,-
Kingston Frontenac Home Builders Association,"['1575 John Counter Blvd.,', 'Kingston, ON', 'K7M 3L5']",Alex Pacheco,613-547-0986,-
Lanark - Leeds Home Builders' Association,"['P.O. Box 544', 'Perth, ON', 'K7H 3K4']",Julie Brady,613-523-5656,-
London Home Builders' Association,"['571 Wharncliffe Road S. #5', 'London, ON', 'N6J 2N6']",Lois Langdon,(519) 686-0343,-
Mitten By Ply Gem,"['5A- 225 Henry Street', 'Brantford, ON', 'N3S 7R4']",,(519) 805-4701,http://mittenpb.com/
Niagara Home Builders' Association,"['34 Scott Street W', 'St. Catharines, ON', 'L2R 1C9']",Chuck McShane,905-646-6281,www.niagarahomebuildersassociation.ca
North Bay & District Home Builders' Association,"['265 Lakeside Drive', 'North Bay, ON', 'P1A 3E2']",Judy Ochoski,(705) 495-8976,-
Oxford County Builders' Association,"['378 Hunter Street', 'Woodstock, ON', 'N4S 4G2']",Derek Jukema,(519) 539-9987,-
Peterborough & The Kawarthas Home Builders' Association,"['494 The Parkway Unit #2', 'Peterborough, ON', 'K9J 7L9']",Danica Logan,705-876-7604,www.peterboroughhomebuilders.com
Quinte Home Builders Association,"['P.O. Box 22018', 'Belleville, ON', 'K8N 5V7']",Ruth Estwick,(613) 970-2216,www.quintehomebuilders.com
Sarnia - Lambton Home Builders' Association,"['P.O. Box 281', 'Sarnia, ON', 'N7T 7H9']",Jennifer Weed,519-344-7422,-
Simcoe County Home Builders' Association,"['P.O. Box 305', 'Barrie, ON', 'L4M 4T5']",Sandy Tuckey,705-431-5030,www.chbasimcoecounty.com
St. Thomas-Elgin Home Builders' Association,"['61 Bodkin Street', 'St. Thomas, ON', 'N5R 6H5']",Angela DeVries,519-476-5811,N/A
Stratford & Area Builders' Association,"['34 Mayberry Place', 'Stratford, ON', 'N5A 6Z7']",Derek Smith,226-236-1870,-
Sudbury & District Home Builders' Association,"['1942 Regent Street, Unit C', 'Sudbury, ON', 'P3E 5V5']",Jana Schilkie,705-671-6099,www.sudburyhomebuilders.com
Thunder Bay Home Builders' Association,"['857 North May Street', 'Thnder Bay, ON', 'P7C 3S2']",Harold Lindstrom,(807) 622-9645,-
Waterloo Region Home Builders' Association,"['625 King Street East, Suite 1C', 'Waterloo, ON', 'N2G 4V4']",Marie Schroeder,(519) 884-7590,www.wrhba.com
West End HBA,"['1112 Rymal Road East', 'Hamilton, ON', 'L8W 3N7']",Cindy McIntosh,905-575-3344,-
Windsor Essex Home Builders' Association,"['2880 Temple Drive, Suite 101', 'Windsor, ON', 'N8W 5J5']",Danielle Spadafora,519-948-3247,-
