Company Name,Place ID,Author,Rating,Review Text,sentiment,confidence
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Galina Khavrenko,5,"We've been a client of Activa Homes for about 5+ years. The quality and design options Activa provides are absolutely amazing. The design and customer care team are always one call away. The Homeowner Orientation, especially for first-time buyers, is very educating. I'm happy to be an Activa homeowner.",POSITIVE,0.998430073261261
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Ratna Prabha Singh,5,We purchased a home from Activa and closing happened in July this year. The overall experience and process was smooth and well dealt with in spite of challenges posed due to COVID restrictions. They were all with us during the design to building stage and responded to each query and issues promptly and efficiently. They made us feel like family and always solved our issues however tiny or complex they were and ensured timely delivery. Staff is very friendly and top notch. Post delivery service was on point and it was a thorough professional engagement throughout. Kudos to team Activa and all the best for all their future projects. They do not just build homes rather they build Dream Homes..!!,POSITIVE,0.9990426898002625
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Sandesh Vijay,5,"They build terrific homes in wonderful communities. A top notch builder in the K-W region.

I’ll forever be grateful to their customer service and construction team. I closed my property with them couple weeks ago … Had they not accommodated the on-time closing of my unit, I would have risked losing my pre-approved mortgage (2.5%) that was offered to me two years ago.

Activa's entire staff has been very supportive and pleasant to work with… Megan, Jen , Jessica and Others … Thank you all.

Think buying a home in K-W Region, Think Activa…",POSITIVE,0.9934872388839722
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Patricia Pickles,5,"I have known Tony Giovinazzo for over 20 years.
He is Impressive, Honest and Extremely Hard Working and brings Excellence and Care for the consumer in all he does.
He has created a true professional crafted model in his company that delivers customer satisfaction without question.
The company not only listens but hears and works together with the needs of the clientele.
With his vision and true support they have built a company that exemplifies the needs and desires of others and delivers homes and neighborhoods you cannot help but be proud to be a part of.
Not a House but a Home.",POSITIVE,0.9992730021476746
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Ko Hyunjun,5,"We purchased our home from Activa around 2022. Our experience with them was great, and we wanted to share our story with Activa.

When we were chosen to purchase a house from Activa, we were excited as it was very competitive. Dave, who was the representative , was able to help us through the process before design studio.

After we chose our lot and went through structural upgrades with Dave, we went to design studio to choose designs and trims that go into our house. Maggie was our designer. She was very professional and friendly to work with. We were a picky customer and we changed our choices a lot, but she was very nice and understanding. She also suggested us a lot in terms of choosing. Now our home looks amazing thanks to her.

When we were done with choices, Tammy was able to take care of all the questions we had. I think that building a home with a builder can arise many questions because it is a complex process and some things can be hard to understand. We just had to email Tammy and she was able to answer every question, which gave us a peace of mind.

After the home was built and when we were going through warranty process (before closing, after closing), Scott and his team acted quick and worked in a very professional matter. They were paying attention to small details and we were able to correct and fix most of the issues we were able to find. Quality of the build went up higher after we went through home with Scott.

The whole process of purchasing a house from Activa was easier than what we expected and they were very professional. We would recommend Activa to any buyers who are willing to purchase a house from builder. Activa will get you a great quality home with less headaches you have to get. We appreciate Activa’s professionalism, and for a great house.",POSITIVE,0.9980857372283936
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Gurpreet Singh Ubhi,5,"Very happy with the service and the help of the staff. Exceeded my expectations, and highly recommend. They created beautiful homes in KW area! Their professionalism and pleasant support made my experience better than other builders!",POSITIVE,0.9916314482688904
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Ahsan Mahmood,5,"I purchased a home from Activa and we finally closed this year. The overall process with them was amazing from start to finish. It was a very simple and easy to understand process. We really liked the design studio aspect which many builders do not come close to - Activa has it's own building that allows you to see all the options they have. They also provide options for buildings secondary suites which can be necessary in this day and age. ,The supervisor that I dealt with after closing was Scott. He was extremely professional. Very helpful and was able to resolve all my PDI and 30-day warranty items extremely fast. He was also very courteous and helping me with things that don't generally get covered under normal warranty work. I would recommend this builder to anyone and ask for Scott. He's been amazing. Activa did not disappoint.",POSITIVE,0.9989727735519409
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,milica jurisic,5,I recently purchased a home from Activa and had my PDI. The supervisor Scott and Christine the customer experience coordinator were extremely helpful and kind throughout this process. Scott resolved all my PDI concerns and even went above and beyond to provide a perfect product. All of the work was done extremely professionally and of high quality. I would recommend Activa and Scott highly.,POSITIVE,0.9988560676574707
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Chotto Doji,3,"Okay in the beginning. They ""forgot"" about our 30 day so they had to do a rush job after the alloted time to fix the listed items.  Did a so-so job on it. Forced us to go through the conciliation process because they haven't fixed our one year items and have nothing scheduled to fix the issues... winter is coming and our outdoor item is still not resolved... I guess it's the same with every company once the cheque clears no one cares .  Sad I expected better from Activa.",NEGATIVE,0.9999939203262329
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Nimroj Maknojiya,5,"Activa Homes has exceeded our expectations in every way. From the moment we walked into their sales office, we were impressed by the level of professionalism and expertise of their team. They took the time to understand our needs and helped us choose the perfect design that would fit our family's lifestyle.

The building process was incredibly smooth and efficient. The construction team (Scott and his team)  kept us informed every step of the way and any issues that arose were promptly addressed. The end result was a beautiful, high-quality home that was exactly what we had envisioned.

We particularly appreciated the attention to detail that Activa Homes put into every aspect of the build. From the choice of materials to the finishes, every decision was made with the goal of delivering a home that was not only beautiful, but also built to last.

Overall, we are thrilled with our new home and would highly recommend Activa Homes to anyone looking to build their dream home. They are true professionals and their commitment to quality is evident in every aspect of their business. Thank you, Activa Homes, for making our home building experience such a positive one! We adore our home at Trussler West!",POSITIVE,0.9993209838867188
