Company Name,Place ID,Author,Rating,Review Text
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Galina Khavrenko,5,"We've been a client of Activa Homes for about 5+ years. The quality and design options Activa provides are absolutely amazing. The design and customer care team are always one call away. The Homeowner Orientation, especially for first-time buyers, is very educating. I'm happy to be an Activa homeowner."
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Sandesh Vijay,5,"They build terrific homes in wonderful communities. A top notch builder in the K-W region.

I’ll forever be grateful to their customer service and construction team. I closed my property with them couple weeks ago … Had they not accommodated the on-time closing of my unit, I would have risked losing my pre-approved mortgage (2.5%) that was offered to me two years ago.

Activa's entire staff has been very supportive and pleasant to work with… Megan, Jen , Jessica and Others … Thank you all.

Think buying a home in K-W Region, Think Activa…"
Activa,ChIJxbIbrsrzK4gRyKBqOoYlX6k,Ko Hyunjun,5,"We purchased our home from Activa around 2022. Our experience with them was great, and we wanted to share our story with Activa.

When we were chosen to purchase a house from Activa, we were excited as it was very competitive. Dave, who was the representative , was able to help us through the process before design studio.

After we chose our lot and went through structural upgrades with Dave, we went to design studio to choose designs and trims that go into our house. Maggie was our designer. She was very professional and friendly to work with. We were a picky customer and we changed our choices a lot, but she was very nice and understanding. She also suggested us a lot in terms of choosing. Now our home looks amazing thanks to her.

When we were done with choices, Tammy was able to take care of all the questions we had. I think that building a home with a builder can arise many questions because it is a complex process and some things can be hard to understand. We just had to email Tammy and she was able to answer every question, which gave us a peace of mind.

After the home was built and when we were going through warranty process (before closing, after closing), Scott and his team acted quick and worked in a very professional matter. They were paying attention to small details and we were able to correct and fix most of the issues we were able to find. Quality of the build went up higher after we went through home with Scott.

The whole process of purchasing a house from Activa was easier than what we expected and they were very professional. We would recommend Activa to any buyers who are willing to purchase a house from builder. Activa will get you a great quality home with less headaches you have to get. We appreciate Activa’s professionalism, and for a great house."
Alma Mechanical,ChIJJ5_TX-IA1YkR6nZEdM6l0Sc,Ron Provost,1,Called today - Their name and number all over furnace from when they installed. Furnace down - No heat. Left message - 53 minutes later return call - First thing!!!!!! out of persons mouth is - They are far away and not a warranty item - Which I already checked - Its a covered item - Its 9 yrs old - the items is covered for 20 years - Said they wouldn't come here for repair  (even though they installed it) - Absolutely terrible way to do business! - My next call is to the builder to not use these people. - Then Lennox -
Alma Mechanical,ChIJJ5_TX-IA1YkR6nZEdM6l0Sc,Lisa Waldinsperger,5,"Alma did an amazing job installing my new furnace! My old furnace was shut down suddenly and we were experiencing an ""extreme cold weather"" alert in our area.  Alma was at my house and had the furnace installed within hours on the same day! The installers were professional and positive, respectful of my home and helpful with information and letting me know what was happening.  The office staff were equally wonderful to work with and of course, I love my new Lennox furnace...it's so quiet and runs like a charm! Thank you, Alma, for doing a great job and caring about your customer! I highly recommend Alma to everyone!"
Alma Mechanical,ChIJJ5_TX-IA1YkR6nZEdM6l0Sc,Nick Lawson,1,"Customer for 10 years  have had service in the past.  Recently called for info on a warning light on the furnace and they said they couldn't help me and directed me elsewhere.  Tried to return a brand new furnace filter over $40 value, again after buying them twice yearly for 10 years  and Shane tells me they don't have a return policy.  So $800 worth of filters I buy, but when I need to return one extra I purchased they won't return it.  Poor business etiquette, definitely would not recommend them.  Customer service goes a long way, and here there is zero so why give them business."
CCR Build + Remodel,ChIJ-0bany_lLogRUBnpws5gzI4,Jodi Knight,5,"We've just completed a kitchen renovation with CCR.  The entire process was so well organized from the initial planning stage through to completion.  The site manager and office staff were extremely responsive and they, as well as all the sub-trades who worked on the project were knowledgeable, competent and always professional.
We would certainly recommend CCR to anyone considering a home renovation."
CCR Build + Remodel,ChIJ-0bany_lLogRUBnpws5gzI4,James L. Stouffer,5,"Dozens of contractors are available in the London area.  However, if you want the best for your build or remodel, you must use CCR.  Arne Madsen, the owner, is a terrific person with a keen eye for design and detail.  He has attracted a skilled group of employees and hires reliable sub trades. Their work is first rate plus and has been recognized with dozens of awards. CCR will do your job start-to-finish, from getting the building permit to completing final touches to your satisfaction.

We hired CCR to remove our old deck and build a new one. Because we have a walkout, the deck is 9 feet above the patio. The old deck was not covered. CCR extended the existing roof over the new deck. It is impossible to distinguish where the new roof connects to the existing roof, as it is a perfect piece of workmanship.   The ceiling finish on the deck is stylish as is the finish of the underside of the deck and the underside of the stairs both of which are finished with the same material as the existing soffit and fascia. Our neighbor, who has expertise in construction, informally followed the work and inspected the finished deck. He commented on the high quality of construction and attractiveness of the new deck. We are extremely pleased with the work done by CCR and are enjoying our new deck!"
CCR Build + Remodel,ChIJ-0bany_lLogRUBnpws5gzI4,Terry Hamilton,5,"We had a renovation of our kitchen, ensuite, and deck in 2022. It was a pleasure to work with the CCR team and contractors and subcontractors. We absolutely love our renovations and are grateful for Peder’s vision to enlarge our kitchen window and walk us through what our ensuite could entail!  Wow. What a difference!!  Special thanks to Ryan, Scott, Guerin, Erin, and Stewart, and especially to our interior designer, Jen!!  We couldn’t have got through this without all of you!!!  Your professionalism, dedication and attention to detail was above and beyond. We wholeheartedly recommend CCR to others who are contemplating a renovation.

Lynne & Terry Hamilton"
Digreen Homes,ChIJ2yfX4tjU1IkRbct8G2DI2nA,S S,4,"We started off on a bad note with all the delays and miscommunication from the builder itself.  Sad the builder does not care or not even acknowledging emails.

As soon as Dawn and Warren came on board I can give them 5star as the communication has been so clear and no run arounds. Dawn and Warren really helped close loops and returned phone calls. They both have amazing customer service skills. Thank you!"
Digreen Homes,ChIJ2yfX4tjU1IkRbct8G2DI2nA,Harjeet bajwa,1,Worst builder ever to deal with.. we were supposed to get our house in August 2023 which we booked in 2021 on countryside and Torbram Brampton location but construction did not even start..they said they have dispute with city.. city said they were not even allowed to sell the lots before approval from city.. total fraud.. here we are stuck can’t even buy another house because they are not refunding our money.. stay away from this builder.they change their name for every new site.. total scam.. taking advantage of loopholes in the system..
Digreen Homes,ChIJ2yfX4tjU1IkRbct8G2DI2nA,Abhishek Tiwari,1,"Don't give your hard earn money to this builder, will take advantage of buyer's trust & walk away due broken system of Ontario, See the pictures of home delivered by builder, with nails on floor, no countertop, no mirror, no outlet for microwave, no garage door, unfinished stairs, no gravel etc etc - builder delivered home unfinished & not safe for kids, after one month of closing they don't reply email or want to finish the work they left."
Ecocor Construction,ChIJLeO7za44K4gRDb2YOuTLIO0,Ali Alzamil,5,"I don’t know where to begin, but I am very happy with my new kitchen and the customer service I was provided. They always kept me up to date with what is going on in my house. Highly recommended & very professional!"
Ecocor Construction,ChIJLeO7za44K4gRDb2YOuTLIO0,sarah kagan,5,"Ecocor Construction has recently completed a kitchen renovation at our home. The quality, service and professionalism is exceptional. I highly recommend this company. Rami truly loves what he does and every person on his team is fantastic and professional. Thank you!!!"
